Indicator,PUBLISH STATES,Year,WHO region,Country,Display Value,Numeric,Low,High,Comments
Nursing and midwifery personnel density (per 1000 population),Published,2006,Eastern Mediterranean,Somalia,0.114,0.114,,,
Dentistry personnel density density (per 1000 population),Published,1999,Eastern Mediterranean,Oman,0.042,0.042,,,Includes only dentists
Physicians density (per 1000 population),Published,1990,Americas,Ecuador,0.95,0.95,,,
Nursing and midwifery personnel density (per 1000 population),Published,2005,Africa,Guinea,0.043,0.043,,,
Other health workers density (per 1000 population),Published,1999,Eastern Mediterranean,Tunisia,2.874,2.874,,,
Health management & support workers density (per 1000 population),Published,2008,Africa,Niger,0.188,0.188,,,
Physicians density (per 1000 population),Published,2005,Europe,Hungary,3.225,3.225,,,
Health management & support workers density (per 1000 population),Published,2002,Africa,United Republic of Tanzania,0.02,0.02,,,
Pharmaceutical personnel density (per 1000 population),Published,1999,Eastern Mediterranean,Syrian Arab Republic,0.507,0.507,,,Includes only pharmacists
Nursing and midwifery personnel density (per 1000 population),Published,2001,Americas,Dominica,5.615,5.615,,,"<b>Nursing and midwifery personnel: </b>Includes public sector only.</br><b> Country: </b>Dominica </br><b>Year: </b>2001</br><b>Value:</b>5.615</br><b> Data Source:</b> Dominica 2001 Census, Pan American Health Organization"
Physicians density (per 1000 population),Published,2005,Americas,El Salvador,1.505,1.505,,,
Dentistry personnel density density (per 1000 population),Published,2008,Eastern Mediterranean,Djibouti,0.119,0.119,,,
Dentistry personnel density density (per 1000 population),Published,2005,Eastern Mediterranean,Egypt,0.3399,0.3399,,,
Other health workers density (per 1000 population),Published,2008,Western Pacific,Mongolia,0.429,0.429,,,
Physicians density (per 1000 population),Published,2004,Eastern Mediterranean,Syrian Arab Republic,1.421,1.421,,,
Dentistry personnel density density (per 1000 population),Published,2008,Americas,El Salvador,0.646,0.646,,,
Laboratory health workers density (per 1000 population),Published,1995,Eastern Mediterranean,Oman,0.403,0.403,,,
Nursing and midwifery personnel density (per 1000 population),Published,2011,Europe,Israel,4.972,4.972,,,"<b>Nursing and midwifery personnel: </b>Includes practising nurses only</br><b> Country: </b>Israel </br><b>Year: </b>2011</br><b>Value:</b>4.972</br><b> Data Source:</b> Health for all database, WHO/EURO "
Pharmaceutical personnel density (per 1000 population),Published,2008,Americas,El Salvador,0.32,0.32,,,
Physicians density (per 1000 population),Published,2004,Eastern Mediterranean,Iran (Islamic Republic of),0.87,0.87,,,
Other health workers density (per 1000 population),Published,2004,Africa,Madagascar,0.03,0.03,,,
Nursing and midwifery personnel density (per 1000 population),Published,2009,Africa,Angola,1.66,1.66,,,"<b>Nursing and midwifery personnel: </b></br><b> Country: </b>Angola </br><b>Year: </b>2009</br><b>Value:</b>1.66</br><b> Data Source:</b> Minist?rio da Sa?de, Angola "
Other health workers density (per 1000 population),Published,2007,Africa,Namibia,0.163,0.163,,,
Community and traditional health workers density (per 1000 population),Published,1997,Americas,Saint Kitts and Nevis,0.395,0.395,,,
Environmental and public health workers density (per 1000 population),Published,2008,Africa,Mali,0.007,0.007,,,
Pharmaceutical personnel density (per 1000 population),Published,1997,Eastern Mediterranean,Tunisia,0.17,0.17,,,Includes only pharmacists
Laboratory health workers density (per 1000 population),Published,2004,Africa,Eritrea,0.06,0.06,,,
Other health workers density (per 1000 population),Published,2001,Americas,Saint Vincent and the Grenadines,2.322,2.322,,,
Community and traditional health workers density (per 1000 population),Published,2004,Africa,Burundi,0.09,0.09,,,
Physicians density (per 1000 population),Published,2004,Africa,Cabo Verde,0.49,0.49,,,
Physicians density (per 1000 population),Published,2006,Americas,Cuba,6.33,6.33,,,
Physicians density (per 1000 population),Published,2008,Africa,Nigeria,0.395,0.395,,,
Other health workers density (per 1000 population),Published,2004,Eastern Mediterranean,Iran (Islamic Republic of),1.21,1.21,,,
Dentistry personnel density density (per 1000 population),Published,2009,Eastern Mediterranean,Kuwait,0.354,0.354,,,
Community and traditional health workers density (per 1000 population),Published,2002,Western Pacific,Mongolia,1.47,1.47,,,
Pharmaceutical personnel density (per 1000 population),Published,2011,Americas,Grenada,0.849,0.849,,,
Other health workers density (per 1000 population),Published,1999,Eastern Mediterranean,Djibouti,0.085,0.085,,,
Other health workers density (per 1000 population),Published,2009,Eastern Mediterranean,Oman,0.094,0.094,,,
Health management & support workers density (per 1000 population),Published,2004,Africa,Gabon,0.11,0.11,,,
Dentistry personnel density density (per 1000 population),Published,2006,Eastern Mediterranean,Sudan,0.0255,0.0255,,,
Physicians density (per 1000 population),Published,2007,Western Pacific,Viet Nam,1.199,1.199,,,
Pharmaceutical personnel density (per 1000 population),Published,1992,Americas,Ecuador,0.03,0.03,,,Includes only pharmacists
Nursing and midwifery personnel density (per 1000 population),Published,2000,Eastern Mediterranean,Syrian Arab Republic,1.937,1.937,,,
Nursing and midwifery personnel density (per 1000 population),Published,2008,Western Pacific,Fiji,2.06,2.06,,,Includes only nurses
Pharmaceutical personnel density (per 1000 population),Published,2004,Africa,Congo,0.03,0.03,,,
Physicians density (per 1000 population),Published,1998,Europe,Croatia,1.945,1.945,,,
Nursing and midwifery personnel density (per 1000 population),Published,2005,Western Pacific,Singapore,4.662,4.662,,,
Dentistry personnel density density (per 1000 population),Published,2004,Americas,Mexico,1.415,1.415,,,
Physicians density (per 1000 population),Published,2001,Western Pacific,Australia,2.47,2.47,,,
Dentistry personnel density density (per 1000 population),Published,2004,Africa,Guinea-Bissau,0.01,0.01,,,Includes only technicians/assistants
Physicians density (per 1000 population),Published,1990,Africa,Zimbabwe,0.126,0.126,,,
Pharmaceutical personnel density (per 1000 population),Published,2006,Africa,Gambia,0.007,0.007,,,
Pharmaceutical personnel density (per 1000 population),Published,2008,Western Pacific,Brunei Darussalam,0.113,0.113,,,Includes only pharmacists
Health management & support workers density (per 1000 population),Published,1992,Americas,Ecuador,1.24,1.24,,,
Pharmaceutical personnel density (per 1000 population),Published,2010,Africa,Mali,0.009,0.009,,,
Nursing and midwifery personnel density (per 1000 population),Published,1998,Eastern Mediterranean,Oman,2.587,2.587,,,Includes only nurses
Dentistry personnel density density (per 1000 population),Published,2008,Western Pacific,Papua New Guinea,0.007,0.007,,,
Other health workers density (per 1000 population),Published,1998,Europe,Turkey,0.626,0.626,,,
Other health workers density (per 1000 population),Published,2009,Africa,Cameroon,0.462,0.462,,,
Environmental and public health workers density (per 1000 population),Published,2002,Americas,Paraguay,0.02,0.02,,,
Dentistry personnel density density (per 1000 population),Published,2008,Africa,Ghana,0.006,0.006,,,
Physicians density (per 1000 population),Published,2008,Western Pacific,Mongolia,2.763,2.763,,,
Dentistry personnel density density (per 1000 population),Published,2005,Eastern Mediterranean,Bahrain,0.4126,0.4126,,,
Physicians density (per 1000 population),Published,2005,Eastern Mediterranean,Bahrain,2.7235,2.7235,,,
Nursing and midwifery personnel density (per 1000 population),Published,2007,Africa,Mozambique,0.02,0.02,,,Includes only nurses
Other health workers density (per 1000 population),Published,2004,Americas,Canada,3.1,3.1,,,
Environmental and public health workers density (per 1000 population),Published,2008,Americas,Jamaica,0.17,0.17,,,
Other health workers density (per 1000 population),Published,2008,Africa,Liberia,0.055,0.055,,,
Pharmaceutical personnel density (per 1000 population),Published,2005,Americas,Barbados,0.93,0.93,,,
Health management & support workers density (per 1000 population),Published,2009,Africa,Cameroon,0.001,0.001,,,
Nursing and midwifery personnel density (per 1000 population),Published,2009,Europe,Kazakhstan,8.276,8.276,,,"<b>Nursing and midwifery personnel: </b>Includes practising nurses and practising midwives</br><b> Country: </b>Kazakhstan </br><b>Year: </b>2009</br><b>Value:</b>8.276</br><b> Data Source:</b> Health for all database, WHO/EURO "
Environmental and public health workers density (per 1000 population),Published,2009,Africa,Guinea-Bissau,0.004,0.004,,,
Other health workers density (per 1000 population),Published,2000,Eastern Mediterranean,Oman,1.344,1.344,,,
Nursing and midwifery personnel density (per 1000 population),Published,2008,Europe,Turkey,1.938,1.938,,,<b>Nursing and midwifery personnel: </b>Includes public and private sectors.  Includes village midwives.</br><b> Country: </b>Turkey </br><b>Year: </b>2008</br><b>Value:</b>1.938</br><b> Data Source:</b> Ministry of Health
Other health workers density (per 1000 population),Published,2010,Africa,Rwanda,0.268,0.268,,,
Physicians density (per 1000 population),Published,2011,Europe,Armenia,2.845,2.845,,,"<b>Physicians: </b>Includes practising physicians</br><b> Country: </b>Armenia </br><b>Year: </b>2011</br><b>Value:</b>2.845</br><b> Data Source:</b> Health for all database, WHO/EURO "
Physicians density (per 1000 population),Published,2001,Americas,Saint Lucia,0.884,0.884,,,
Pharmaceutical personnel density (per 1000 population),Published,2003,Africa,Gambia,0.03,0.03,,,
Physicians density (per 1000 population),Published,2010,Western Pacific,New Zealand,2.74,2.74,,,
Physicians density (per 1000 population),Published,2011,Europe,Ukraine,3.517,3.517,,,"<b>Physicians: </b>Includes practising physicians</br><b> Country: </b>Ukraine </br><b>Year: </b>2011</br><b>Value:</b>3.517</br><b> Data Source:</b> Health for all database, WHO/EURO "
Pharmaceutical personnel density (per 1000 population),Published,2007,Americas,Trinidad and Tobago,0.488,0.488,,,
Dentistry personnel density density (per 1000 population),Published,2008,Western Pacific,Singapore,0.315,0.315,,,Includes only dentists
Dentistry personnel density density (per 1000 population),Published,1990,Western Pacific,Japan,0.5992,0.5992,,,
Health management & support workers density (per 1000 population),Published,2004,Africa,Senegal,0.05,0.05,,,
Nursing and midwifery personnel density (per 1000 population),Published,2008,Africa,Liberia,0.274,0.274,,,
Other health workers density (per 1000 population),Published,2007,Africa,Gambia,0.998,0.998,,,
Environmental and public health workers density (per 1000 population),Published,2004,Africa,Togo,0.06,0.06,,,
Other health workers density (per 1000 population),Published,2007,Americas,Brazil,0.197,0.197,,,
Dentistry personnel density density (per 1000 population),Published,2007,Africa,Zimbabwe,0.015,0.015,,,
Dentistry personnel density density (per 1000 population),Published,2006,Eastern Mediterranean,Djibouti,0.119,0.119,,,Includes only dentists
Dentistry personnel density density (per 1000 population),Published,2007,Western Pacific,Tonga,0.563,0.563,,,Includes only dentists
Physicians density (per 1000 population),Published,2004,Western Pacific,Singapore,1.505,1.505,,,
Dentistry personnel density density (per 1000 population),Published,2011,Europe,Turkey,0.287,0.287,,,
Laboratory health workers density (per 1000 population),Published,1995,Africa,Zimbabwe,0.064,0.064,,,
Dentistry personnel density density (per 1000 population),Published,2002,Western Pacific,Mongolia,0.13,0.13,,,
Physicians density (per 1000 population),Published,2005,Eastern Mediterranean,Kuwait,1.8012,1.8012,,,
Physicians density (per 1000 population),Published,2008,Europe,Hungary,3.602,3.602,,,
Physicians density (per 1000 population),Published,1997,Europe,Turkey,1.13,1.13,,,
Dentistry personnel density density (per 1000 population),Published,2007,Eastern Mediterranean,Egypt,0.39,0.39,,,Includes only dentists
Physicians density (per 1000 population),Published,2004,Africa,Zambia,0.12,0.12,,,
Nursing and midwifery personnel density (per 1000 population),Published,2002,Western Pacific,Brunei Darussalam,6.0571,6.0571,,,
Laboratory health workers density (per 1000 population),Published,2010,Africa,Burkina Faso,0.038,0.038,,,
Dentistry personnel density density (per 1000 population),Published,1990,Americas,Saint Kitts and Nevis,0.293,0.293,,,Includes only dentists
Laboratory health workers density (per 1000 population),Published,2009,Africa,Rwanda,0.091,0.091,,,
Nursing and midwifery personnel density (per 1000 population),Published,2008,Africa,Ghana,0.974,0.974,,,
Nursing and midwifery personnel density (per 1000 population),Published,2000,Western Pacific,Lao People's Democratic Republic,1.033,1.033,,,Includes only nurses
Physicians density (per 1000 population),Published,2010,Africa,Sierra Leone,0.022,0.022,,,<b>Physicians: </b></br><b> Country: </b>Sierra Leone </br><b>Year: </b>2010</br><b>Value:</b>0.022</br><b> Data Source:</b> Ministry of Health and Sanitation
Dentistry personnel density density (per 1000 population),Published,2010,Europe,Croatia,0.697,0.697,,,
Pharmaceutical personnel density (per 1000 population),Published,2000,Western Pacific,Cambodia,0.04,0.04,,,
Nursing and midwifery personnel density (per 1000 population),Published,2008,Western Pacific,Republic of Korea,5.289,5.289,,,
Nursing and midwifery personnel density (per 1000 population),Published,2001,Americas,Canada,10.08,10.08,,,
Pharmaceutical personnel density (per 1000 population),Published,1998,Africa,Gabon,0.028,0.028,,,Includes only pharmacists
Health management & support workers density (per 1000 population),Published,2005,Eastern Mediterranean,Djibouti,0.293,0.293,,,
Other health workers density (per 1000 population),Published,2005,Europe,Kazakhstan,8.066,8.066,,,
Laboratory health workers density (per 1000 population),Published,2004,Africa,Cameroon,0.11,0.11,,,
Nursing and midwifery personnel density (per 1000 population),Published,2011,Europe,Ukraine,6.406,6.406,,,"<b>Nursing and midwifery personnel: </b>Includes practising nurses and practising midwives</br><b> Country: </b>Ukraine </br><b>Year: </b>2011</br><b>Value:</b>6.406</br><b> Data Source:</b> Health for all database, WHO/EURO "
Nursing and midwifery personnel density (per 1000 population),Published,1995,South-East Asia,Thailand,0.938,0.938,,,Includes only nurses
Physicians density (per 1000 population),Published,2008,Eastern Mediterranean,Jordan,2.393,2.393,,,
Health management & support workers density (per 1000 population),Published,1999,Americas,Grenada,0.05,0.05,,,
Physicians density (per 1000 population),Published,1991,Americas,Saint Kitts and Nevis,0.683,0.683,,,
Community and traditional health workers density (per 1000 population),Published,2000,Africa,Botswana,0.736,0.736,,,
Nursing and midwifery personnel density (per 1000 population),Published,2005,Africa,Cameroon,0.411,0.411,,,<b>Nursing and midwifery personnel: </b>Includes nurses only</br><b> Country: </b>Cameroon </br><b>Year: </b>2005</br><b>Value:</b>0.411</br><b> Data Source:</b> Syst?me Informatique de Gestion Int?gr? du Personnel et de la Solde 
Physicians density (per 1000 population),Published,2004,Africa,Gabon,0.29,0.29,,,
Pharmaceutical personnel density (per 1000 population),Published,2011,Africa,Nigeria,0.105,0.105,,,
Community and traditional health workers density (per 1000 population),Published,2009,Africa,Mauritania,0.284,0.284,,,
Health management & support workers density (per 1000 population),Published,2007,Africa,Ghana,0.922,0.922,,,
Dentistry personnel density density (per 1000 population),Published,2009,Europe,The former Yugoslav Republic of Macedonia,0.697,0.697,,,
Other health workers density (per 1000 population),Published,2004,Africa,Ethiopia,0.101,0.101,,,
Other health workers density (per 1000 population),Published,2000,Americas,Grenada,0.09,0.09,,,
Pharmaceutical personnel density (per 1000 population),Published,2005,Eastern Mediterranean,Jordan,1.245,1.245,,,
Physicians density (per 1000 population),Published,2002,Western Pacific,Viet Nam,0.56,0.56,,,
Pharmaceutical personnel density (per 1000 population),Published,2007,Europe,Kyrgyzstan,0.19,0.19,,,
Physicians density (per 1000 population),Published,2008,Americas,Chile,1.04,1.04,,,
Dentistry personnel density density (per 1000 population),Published,2000,Americas,Suriname,0.01,0.01,,,Includes only dentists
Nursing and midwifery personnel density (per 1000 population),Published,2007,Africa,Namibia,2.775,2.775,,,
Dentistry personnel density density (per 1000 population),Published,1998,Western Pacific,Cambodia,0.017,0.017,,,
Nursing and midwifery personnel density (per 1000 population),Published,2002,Eastern Mediterranean,United Arab Emirates,3.5205,3.5205,,,Includes only nurses
Health management & support workers density (per 1000 population),Published,2000,Americas,Brazil,4.89,4.89,,,
Nursing and midwifery personnel density (per 1000 population),Published,2008,Africa,Zambia,0.742,0.742,,,
Physicians density (per 1000 population),Published,2007,South-East Asia,India,0.62,0.62,,,
Dentistry personnel density density (per 1000 population),Published,1990,Americas,Cuba,0.66,0.66,,,Includes only dentists
Dentistry personnel density density (per 1000 population),Published,1990,Americas,Colombia,0.48,0.48,,,Includes only dentists
Nursing and midwifery personnel density (per 1000 population),Published,2004,Americas,Mexico,3.98,3.98,,,
Pharmaceutical personnel density (per 1000 population),Published,2003,South-East Asia,Democratic People's Republic of Korea,0.6,0.6,,,
Dentistry personnel density density (per 1000 population),Published,2009,Eastern Mediterranean,Bahrain,0.356,0.356,,,
Community and traditional health workers density (per 1000 population),Published,2007,Western Pacific,Vanuatu,0.52,0.52,,,
Pharmaceutical personnel density (per 1000 population),Published,2008,Western Pacific,Viet Nam,0.324,0.324,,,
Physicians density (per 1000 population),Published,1992,Americas,Colombia,1.05,1.05,,,
Other health workers density (per 1000 population),Published,1996,Eastern Mediterranean,Tunisia,2.879,2.879,,,
Nursing and midwifery personnel density (per 1000 population),Published,1996,Americas,Colombia,0.46,0.46,,,Includes only nurses
Physicians density (per 1000 population),Published,1998,Eastern Mediterranean,Pakistan,0.6107,0.6107,,,
Nursing and midwifery personnel density (per 1000 population),Published,1992,Eastern Mediterranean,Pakistan,0.318,0.318,,,
Environmental and public health workers density (per 1000 population),Published,2007,Africa,Algeria,0.072,0.072,,,
Environmental and public health workers density (per 1000 population),Published,2008,Africa,Gambia,0.048,0.048,,,
Nursing and midwifery personnel density (per 1000 population),Published,2006,Americas,Grenada,3.827,3.827,,,
Pharmaceutical personnel density (per 1000 population),Published,2008,Eastern Mediterranean,Saudi Arabia,0.058,0.058,,,
Pharmaceutical personnel density (per 1000 population),Published,2008,Eastern Mediterranean,Iraq,0.15,0.15,,,Includes only pharmacists
Dentistry personnel density density (per 1000 population),Published,2008,Eastern Mediterranean,Syrian Arab Republic,0.79,0.79,,,
Physicians density (per 1000 population),Published,2000,Eastern Mediterranean,Tunisia,0.782,0.782,,,
Pharmaceutical personnel density (per 1000 population),Published,2000,Eastern Mediterranean,Tunisia,0.205,0.205,,,Includes only pharmacists
Environmental and public health workers density (per 1000 population),Published,2008,Africa,Rwanda,0.01,0.01,,,
Dentistry personnel density density (per 1000 population),Published,2001,Western Pacific,China,0.11,0.11,,,
Pharmaceutical personnel density (per 1000 population),Published,2003,Western Pacific,Tuvalu,0.1818,0.1818,,,
Physicians density (per 1000 population),Published,2003,South-East Asia,Democratic People's Republic of Korea,3.29,3.29,,,
Pharmaceutical personnel density (per 1000 population),Published,2000,Americas,Grenada,0.27,0.27,,,Includes only pharmacists
Nursing and midwifery personnel density (per 1000 population),Published,2009,Eastern Mediterranean,Libya,6.8,6.8,,,
Nursing and midwifery personnel density (per 1000 population),Published,2004,Western Pacific,Niue,11,11,,,
Dentistry personnel density density (per 1000 population),Published,2005,Eastern Mediterranean,Iran (Islamic Republic of),0.19,0.19,,,
Physicians density (per 1000 population),Published,1997,Eastern Mediterranean,Oman,0.804,0.804,,,
Health management & support workers density (per 1000 population),Published,2009,Western Pacific,Nauru,1.07,1.07,,,
Other health workers density (per 1000 population),Published,2006,South-East Asia,India,0.64,0.64,,,
Pharmaceutical personnel density (per 1000 population),Published,2009,Africa,Zimbabwe,0.19,0.19,,,
Environmental and public health workers density (per 1000 population),Published,1990,Africa,Zimbabwe,0.09,0.09,,,
Dentistry personnel density density (per 1000 population),Published,2002,South-East Asia,Bangladesh,0.013,0.013,,,Includes only dentists
Dentistry personnel density density (per 1000 population),Published,2004,Africa,Mauritania,0.02,0.02,,,
Other health workers density (per 1000 population),Published,2009,Western Pacific,Australia,4.611,4.611,,,
Physicians density (per 1000 population),Published,1999,Europe,Lithuania,4.151,4.151,,,
Dentistry personnel density density (per 1000 population),Published,2004,Eastern Mediterranean,Djibouti,0.01,0.01,,,
Pharmaceutical personnel density (per 1000 population),Published,1996,Americas,Ecuador,0.03,0.03,,,Includes only pharmacists
Dentistry personnel density density (per 1000 population),Published,2000,Western Pacific,Philippines,0.11,0.11,,,Includes only dentists
Dentistry personnel density density (per 1000 population),Published,1996,Europe,Lithuania,0.483,0.483,,,Includes only dentists
Pharmaceutical personnel density (per 1000 population),Published,2011,Western Pacific,Australia,1.555,1.555,,,
Pharmaceutical personnel density (per 1000 population),Published,2008,Americas,Canada,0.88,0.88,,,Includes only pharmacists
Pharmaceutical personnel density (per 1000 population),Published,2004,Americas,Mexico,0.762,0.762,,,
Pharmaceutical personnel density (per 1000 population),Published,2009,Europe,Denmark,0.458,0.458,,,
Dentistry personnel density density (per 1000 population),Published,2009,Western Pacific,Australia,0.691,0.691,,,
Nursing and midwifery personnel density (per 1000 population),Published,1999,Africa,Chad,0.063,0.063,,,
Dentistry personnel density density (per 1000 population),Published,2004,Africa,Swaziland,0.03,0.03,,,
Laboratory health workers density (per 1000 population),Published,2010,Western Pacific,Malaysia,0.255,0.255,,,
Dentistry personnel density density (per 1000 population),Published,1999,Americas,Colombia,0.7,0.7,,,Includes only dentists
Nursing and midwifery personnel density (per 1000 population),Published,2005,South-East Asia,Myanmar,0.723,0.723,,,
Dentistry personnel density density (per 1000 population),Published,2010,Eastern Mediterranean,Yemen,0.037,0.037,,,
Physicians density (per 1000 population),Published,1995,Americas,United States of America,2.395,2.395,,,
Other health workers density (per 1000 population),Published,2008,Eastern Mediterranean,Bahrain,0.396,0.396,,,
Other health workers density (per 1000 population),Published,2009,Western Pacific,Fiji,0.14,0.14,,,
Pharmaceutical personnel density (per 1000 population),Published,2003,Western Pacific,Singapore,0.3009,0.3009,,,
Physicians density (per 1000 population),Published,1999,Americas,Ecuador,1.4,1.4,,,
Pharmaceutical personnel density (per 1000 population),Published,2010,Europe,Slovenia,0.563,0.563,,,
Nursing and midwifery personnel density (per 1000 population),Published,1995,Americas,Barbados,5.171,5.171,,,Includes only nurses
Nursing and midwifery personnel density (per 1000 population),Published,2006,Western Pacific,Australia,10.907,10.907,,,
Health management & support workers density (per 1000 population),Published,2008,Africa,Central African Republic,0.008,0.008,,,
Physicians density (per 1000 population),Published,2000,Americas,Belize,1.05,1.05,,,
Nursing and midwifery personnel density (per 1000 population),Published,1998,Africa,Congo,8.373,8.373,,,<b>Nursing and midwifery personnel: </b>Includes nurses only</br><b> Country: </b>Congo</br><b>Year: </b>1998</br><b>Value:</b>8.373</br><b> Data Source:</b> Ministry of Health
Physicians density (per 1000 population),Published,2011,Europe,Republic of Moldova,3.643,3.643,,,<b>Physicians: </b></br><b> Country: </b>Republic of Moldova</br><b>Year: </b>2011</br><b>Value:</b>3.643</br><b> Data Source:</b> National Bureau of Statistics of the Republic of Moldova
Pharmaceutical personnel density (per 1000 population),Published,2004,Africa,Eritrea,0.02,0.02,,,
Pharmaceutical personnel density (per 1000 population),Published,2012,Eastern Mediterranean,Jordan,2.143,2.143,,,
Dentistry personnel density density (per 1000 population),Published,2000,Americas,Belize,0.13,0.13,,,
Physicians density (per 1000 population),Published,2006,Africa,Chad,0.037,0.037,,,
Physicians density (per 1000 population),Published,1999,Western Pacific,Samoa,0.7,0.7,,,
Health management & support workers density (per 1000 population),Published,2006,Africa,Mozambique,0.017,0.017,,,
Physicians density (per 1000 population),Published,2002,Western Pacific,Tonga,0.2912,0.2912,,,
Physicians density (per 1000 population),Published,2008,Eastern Mediterranean,Syrian Arab Republic,1.5,1.5,,,
Physicians density (per 1000 population),Published,2009,Africa,Mauritania,0.13,0.13,,,
Other health workers density (per 1000 population),Published,2006,Africa,Mozambique,0.125,0.125,,,
Laboratory health workers density (per 1000 population),Published,2010,Africa,Cabo Verde,0.109,0.109,,,
Nursing and midwifery personnel density (per 1000 population),Published,2005,Western Pacific,Viet Nam,0.827,0.827,,,
Physicians density (per 1000 population),Published,1996,South-East Asia,Sri Lanka,0.285,0.285,,,
Nursing and midwifery personnel density (per 1000 population),Published,2002,Americas,Grenada,4.52,4.52,,,Includes only nurses
Pharmaceutical personnel density (per 1000 population),Published,2006,Americas,Trinidad and Tobago,0.432,0.432,,,Includes only pharmacists
Dentistry personnel density density (per 1000 population),Published,2004,Africa,Namibia,0.06,0.06,,,
Physicians density (per 1000 population),Published,2004,Africa,Cameroon,0.19,0.19,,,
Nursing and midwifery personnel density (per 1000 population),Published,2005,Africa,Ethiopia,0.243,0.243,,,<b>Nursing and midwifery personnel: </b></br><b> Country: </b>Ethiopia </br><b>Year: </b>2005</br><b>Value:</b>0.243</br><b> Data Source:</b> Federal Ministry of Health
Dentistry personnel density density (per 1000 population),Published,2010,Europe,Estonia,0.93,0.93,,,
Environmental and public health workers density (per 1000 population),Published,2008,Africa,Senegal,0.097,0.097,,,
Physicians density (per 1000 population),Published,2007,Europe,Slovakia,3,3,,,
Physicians density (per 1000 population),Published,2009,Americas,Guatemala,0.932,0.932,,,
Pharmaceutical personnel density (per 1000 population),Published,2007,Africa,Cabo Verde,0.006,0.006,,,
Dentistry personnel density density (per 1000 population),Published,1996,Western Pacific,Japan,0.6797,0.6797,,,
Physicians density (per 1000 population),Published,2008,Africa,Benin,0.059,0.059,,,
Health management & support workers density (per 1000 population),Published,2009,Western Pacific,Cook Islands,1,1,,,
Pharmaceutical personnel density (per 1000 population),Published,2004,South-East Asia,Bhutan,0.03,0.03,,,
Other health workers density (per 1000 population),Published,1999,South-East Asia,Sri Lanka,0.073,0.073,,,
Nursing and midwifery personnel density (per 1000 population),Published,1999,Americas,Colombia,0.51,0.51,,,Includes only nurses
Pharmaceutical personnel density (per 1000 population),Published,2002,Americas,Ecuador,0.04,0.04,,,Includes only pharmacists
Pharmaceutical personnel density (per 1000 population),Published,2007,Western Pacific,Singapore,0.334,0.334,,,Includes only pharmacists
Physicians density (per 1000 population),Published,2001,Americas,Colombia,0.13,0.13,,,
Nursing and midwifery personnel density (per 1000 population),Published,2009,Western Pacific,Solomon Islands,2.05,2.05,,,
Dentistry personnel density density (per 1000 population),Published,1999,Americas,Cuba,0.89,0.89,,,Includes only dentists
Other health workers density (per 1000 population),Published,1992,Americas,Ecuador,0.86,0.86,,,
Environmental and public health workers density (per 1000 population),Published,2009,Western Pacific,Nauru,0.71,0.71,,,
Pharmaceutical personnel density (per 1000 population),Published,2006,Africa,Congo,0.027,0.027,,,Includes only pharmacists
Pharmaceutical personnel density (per 1000 population),Published,2009,Africa,Mauritania,0.036,0.036,,,
Pharmaceutical personnel density (per 1000 population),Published,2006,Western Pacific,Australia,0.753,0.753,,,Includes only pharmacists
Nursing and midwifery personnel density (per 1000 population),Published,1992,Americas,Chile,4.549,4.549,,,
Pharmaceutical personnel density (per 1000 population),Published,2011,Europe,Netherlands,0.309,0.309,,,
Physicians density (per 1000 population),Published,2006,Europe,Turkey,1.408,1.408,,,
Other health workers density (per 1000 population),Published,2004,South-East Asia,Sri Lanka,0.08,0.08,,,
Pharmaceutical personnel density (per 1000 population),Published,2000,Americas,Mexico,0.03,0.03,,,Includes only technicians/assistants
Other health workers density (per 1000 population),Published,1990,Europe,Turkey,0.374,0.374,,,
Physicians density (per 1000 population),Published,2005,South-East Asia,Myanmar,0.368,0.368,,,
Dentistry personnel density density (per 1000 population),Published,2010,Africa,Burkina Faso,0.002,0.002,,,
Environmental and public health workers density (per 1000 population),Published,2011,South-East Asia,Bangladesh,0.037,0.037,,,
Physicians density (per 1000 population),Published,2004,Africa,Burundi,0.03,0.03,,,
Community and traditional health workers density (per 1000 population),Published,2004,Western Pacific,Cambodia,0.113,0.113,,,
Other health workers density (per 1000 population),Published,2006,Africa,Cabo Verde,0.056,0.056,,,
Dentistry personnel density density (per 1000 population),Published,1993,Americas,Ecuador,0.14,0.14,,,Includes only dentists
Physicians density (per 1000 population),Published,1996,Western Pacific,Lao People's Democratic Republic,0.59,0.59,,,
Other health workers density (per 1000 population),Published,1998,Western Pacific,Cambodia,0.141,0.141,,,
Dentistry personnel density density (per 1000 population),Published,1997,Americas,Saint Vincent and the Grenadines,0.05,0.05,,,Includes only dentists
Physicians density (per 1000 population),Published,2006,Eastern Mediterranean,Afghanistan,0.136,0.136,,,
Health management & support workers density (per 1000 population),Published,2006,Africa,Cabo Verde,0.004,0.004,,,
Nursing and midwifery personnel density (per 1000 population),Published,2009,Western Pacific,Palau,5.6,5.6,,,Includes only nurses
Health management & support workers density (per 1000 population),Published,2009,Africa,Swaziland,0.25,0.25,,,
Pharmaceutical personnel density (per 1000 population),Published,2004,Western Pacific,Singapore,0.298,0.298,,,Includes only pharmacists
Environmental and public health workers density (per 1000 population),Published,2006,Africa,Congo,0.249,0.249,,,
Laboratory health workers density (per 1000 population),Published,1991,South-East Asia,Maldives,0.077,0.077,,,
Dentistry personnel density density (per 1000 population),Published,2012,South-East Asia,Indonesia,0.099,0.099,,,
